City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,myeik,12.4333,98.6,299.83,87,100,6.81,MM,1718046999
256,bubaque,11.2833,-15.8333,300.11,82,62,5.63,GW,1718047095
257,vila franca do campo,37.7167,-25.4333,293.38,99,100,2.13,PT,1718047095
258,selebi-phikwe,-21.979,27.8498,283.75,59,3,3.07,BW,1718047095
259,zyryanskoye,56.8306,86.6258,284.35,92,0,2.0,RU,1718047095
260,gebeit,21.0667,36.3167,304.91,27,0,1.48,SD,1718047095
261,suva,-18.1416,178.4415,291.86,100,20,1.54,FJ,1718047095
262,kurmuk,10.55,34.2833,296.17,85,100,1.45,SD,1718047095
263,colac,-38.3333,143.5833,285.47,84,100,8.0,AU,1718047095
264,zhelezinka,53.54,75.3072,291.61,91,100,3.13,KZ,1718046805
265,khash,28.2211,61.2158,299.65,12,0,1.01,IR,1718047095
266,primero de mayo,-32.2552,-58.4228,293.61,58,88,4.62,AR,1718047006
267,lazaro cardenas,17.9583,-102.2,302.59,62,94,6.08,MX,1718046992
268,keflavik,64.0049,-22.5624,284.1,66,0,4.63,IS,1718047095
269,acarau,-2.8856,-40.12,301.9,72,39,5.85,BR,1718047095
270,hermanus,-34.4187,19.2345,288.6,56,100,3.71,ZA,1718047095
271,shitanjing,39.2342,106.3439,295.91,27,99,1.75,CN,1718047095
272,san martin,-33.081,-68.4681,291.45,32,79,2.94,AR,1718047095
273,chinde,26.8418,88.0763,293.96,75,39,1.94,NP,1718047096
274,igarka,67.4667,86.5833,280.94,92,46,2.68,RU,1718047096
275,bocanda,7.0626,-4.4995,299.48,86,100,4.65,CI,1718047096
276,lamu,-2.2717,40.902,299.13,76,71,9.11,KE,1718047096
277,sassandra,4.95,-6.0833,297.92,93,100,3.21,CI,1718047096
278,yigo village,13.5361,144.8886,300.31,91,75,6.17,GU,1718047096
279,fort saskatchewan,53.7168,-113.2187,294.38,50,40,5.14,CA,1718047018
280,ust-tsilma,65.441,52.1498,279.6,84,55,3.13,RU,1718047096
281,hailey,43.5196,-114.3153,298.59,37,0,3.6,US,1718047096
